"Source:","/home/david/KiCad/projects/beeper/beeper.kicad_sch"
"Date:","Thu 23 Mar 2023 12:14:58 AM CDT"
"Tool:","Eeschema (6.0.11)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","15"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BZ0, ","1","F/QMBIII","F{slash}QMBIII","beeper:F_QMBIII","",""
"C1, ","1","1.44uF","C2,5-3","beeper:C2.5-3","",""
"C2, ","1","1.82nF","C2,5-3","beeper:C2.5-3","",""
"GND0, ","1","SMD2","SMD2","beeper:SMD1,27-2,54","",""
"LED1, ","1","RED","TLLR4400","beeper:LED3MM","",""
"R1, ","1","220","R-US_0204{slash}7","beeper:0204_7","",""
"R2, R3, R4, ","3","1K","R-US_0204{slash}7","beeper:0204_7","",""
"R5, ","1","SPEED","PV12P105A01B00","beeper:TO250P760H635-3_PV12P105A01B00","",""
"R6, ","1","TONE","PV12P105A01B00","beeper:TO250P760H635-3_PV12P105A01B00","",""
"U1, ","1","CD4011BE","CD4011BE","beeper:DIP794W45P254L1969H508Q14","",""
"U2, U3, ","2","LMC555CN","LMC555CN","beeper:DIP794W45P254L959H508Q8","",""
"VCC0, ","1","SMD2","SMD2","beeper:SMD1,27-2,54","",""
